Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.8,5.7,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.2,11.7,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7,16.5,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.8,11,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.2,17.4,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,13.7,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Ulvaria obscura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7,5.9,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Ulvaria obscura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,19.4,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Ulvaria obscura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.7,15,17,Table 2,
Mamelona & Pelletier 2005,10.1016/j.jembe.2004.08.026,"St. Lawrence Estuary, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,"Alaria esculenta, Saccharina latissima, Ulvaria obscura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,14.9,17,Table 2,
